F1,F2
544.5155,1079.008
594.7025,1079.008
644.8895,1079.008
695.0765,1079.008
343.7675,1215.801
393.95449999999994,1215.801
444.14149999999995,1215.801
494.32849999999996,1215.801
544.5155,1215.801
594.7025,1215.801
644.8895,1215.801
695.0765,1215.801
343.7675,1352.594
393.95449999999994,1352.594
444.14149999999995,1352.594
494.32849999999996,1352.594
544.5155,1352.594
594.7025,1352.594
644.8895,1352.594
695.0765,1352.594
745.2635,1352.594
343.7675,1489.3870000000002
393.95449999999994,1489.3870000000002
444.14149999999995,1489.3870000000002
494.32849999999996,1489.3870000000002
544.5155,1489.3870000000002
594.7025,1489.3870000000002
644.8895,1489.3870000000002
695.0765,1489.3870000000002
745.2635,1489.3870000000002
343.7675,1626.18
393.95449999999994,1626.18
444.14149999999995,1626.18
494.32849999999996,1626.18
544.5155,1626.18
594.7025,1626.18
644.8895,1626.18
695.0765,1626.18
293.5805,1762.973
343.7675,1762.973
393.95449999999994,1762.973
444.14149999999995,1762.973
494.32849999999996,1762.973
544.5155,1762.973
594.7025,1762.973
644.8895,1762.973
293.5805,1899.766
343.7675,1899.766
393.95449999999994,1899.766
444.14149999999995,1899.766
494.32849999999996,1899.766
544.5155,1899.766
293.5805,2036.5590000000002
343.7675,2036.5590000000002
393.95449999999994,2036.5590000000002
444.14149999999995,2036.5590000000002
293.5805,2173.3520000000003
343.7675,2173.3520000000003
393.95449999999994,2173.3520000000003
293.5805,2310.145
243.39349999999996,2446.938
